sector,treatment,variable,label,date,posterior_median,lower_95,upper_95,p_gt_0,diagnostics_ready
Secano,M0,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,94.01599554089267,80.86500661517718,108.18694957607124,1.0,True
Secano,M1,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,176.92406718834204,154.09932411338042,201.3977235761356,1.0,True
Secano,M1,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,196.3785594372044,173.6927170654198,223.25985255452164,1.0,True
Secano,M1,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,162.94936107625426,144.58350620233955,182.70782115347347,1.0,True
Secano,M2,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,169.58549385734082,145.505901481033,198.13891118952293,1.0,True
Secano,M2,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,191.24097270036805,169.93302348521988,217.1432607481498,1.0,True
Secano,M2,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,163.0513889261856,145.08772535092675,183.29220733838477,1.0,True
Secano,M3,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,134.44784675111538,117.80206329122308,151.67370161706148,1.0,True
Secano,M3,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,194.11650714614424,171.69052334809805,219.8123427997664,1.0,True
Secano,M3,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,153.7590922323247,137.1126624051813,172.75585782291458,1.0,True
Secano,M4,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,121.59733857155872,105.57251305121014,140.3811458359181,1.0,True
Secano,M4,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,200.94791044068245,179.30870491470898,223.48971546357015,1.0,True
Secano,M4,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,166.0110770816966,147.4893340540836,187.58819164085887,1.0,True
Secano,M5,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,82.58828934466564,71.72314628207788,96.28748549454104,1.0,True
Secano,M5,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,170.31942863813475,149.97414471975313,192.29842752771216,1.0,True
Secano,M5,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,131.8647497265846,116.44372556201203,148.8199457258215,1.0,True
Riego,M0,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,57.67175629088316,50.92672600151001,64.84728380144821,1.0,True
Riego,M0,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,64.6500114354213,57.60807833443975,72.62285051350722,1.0,True
Riego,M0,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,96.04321010129068,82.73902948960037,110.36517535031024,1.0,True
Riego,M1,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,190.3002763509789,167.73912954176137,216.5274399382676,1.0,True
Riego,M1,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,203.17785076452563,180.9627467950138,225.67204653358607,1.0,True
Riego,M1,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,167.67582786872833,149.394928122326,189.2975445422617,1.0,True
Riego,M2,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,179.00542121197077,157.28767948495786,204.07124303370568,1.0,True
Riego,M2,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,179.9559560501064,161.3701258612989,200.4316584823592,1.0,True
Riego,M2,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,158.55141434566303,142.15961739542885,176.48926499508462,1.0,True
Riego,M3,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,118.49465446196427,104.18883824041563,135.13272708231938,1.0,True
Riego,M3,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,153.1058415756973,136.28458759304388,172.2783450535619,1.0,True
Riego,M3,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,128.31845487724928,114.5956424089502,143.84144392275223,1.0,True
Riego,M4,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,130.81140074528622,116.0896101559514,148.1035979565051,1.0,True
Riego,M4,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,194.959563566754,174.09394225363974,219.5991906024945,1.0,True
Riego,M4,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,168.47051834663156,149.86074546186546,189.5810056011538,1.0,True
Riego,M5,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Sep,102.9914949290412,89.47129567006364,119.19241382776376,1.0,True
Riego,M5,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Oct,189.54838762701823,168.3657006206274,212.97178092406645,1.0,True
Riego,M5,n_acc_state_kg_ha,N aéreo latente (kg N/ha),Nov,148.57434453816728,131.56275080364895,167.11097323847656,1.0,True
Secano,M0,n_pct_state,Concentración de N latente (%),Sep,1.1844865294636653,1.111341109135876,1.2717449413464912,1.0,True
Secano,M0,n_pct_state,Concentración de N latente (%),Oct,1.03249691156153,0.9748127710294102,1.090927703946023,1.0,True
Secano,M0,n_pct_state,Concentración de N latente (%),Nov,0.884620991381094,0.8292078623260376,0.9428728688864456,1.0,True
Secano,M1,n_pct_state,Concentración de N latente (%),Sep,2.318145984736672,2.1272942761064635,2.5125342540908027,1.0,True
Secano,M1,n_pct_state,Concentración de N latente (%),Oct,1.4756523198447842,1.3771262940766584,1.5879331845163578,1.0,True
Secano,M1,n_pct_state,Concentración de N latente (%),Nov,1.1300743765124284,1.0531124174485749,1.2051089435821438,1.0,True
Secano,M2,n_pct_state,Concentración de N latente (%),Sep,2.1085353126726707,1.9485619263689204,2.2923194698555256,1.0,True
