sector,variable,units,treatment,date,median,lower_95,upper_95
Secano,Biomasa aérea,kg MS/ha,M0,Sep,4759.428663802126,3967.856198896146,5847.415261429984
Secano,Biomasa aérea,kg MS/ha,M0,Oct,6828.944383350712,5632.691555617439,8360.707952795592
Secano,Biomasa aérea,kg MS/ha,M0,Nov,10138.964966272211,7972.81410717841,12475.774363652657
Secano,Biomasa aérea,kg MS/ha,M1,Sep,7694.159202968447,6355.814535720234,9193.08228636264
Secano,Biomasa aérea,kg MS/ha,M1,Oct,12023.20176645456,10048.120168491043,14481.824944779008
Secano,Biomasa aérea,kg MS/ha,M1,Nov,14063.29815568657,11866.498851743036,16509.691896774228
Secano,Biomasa aérea,kg MS/ha,M2,Sep,8460.92639353283,6560.035128119309,10713.75221463546
Secano,Biomasa aérea,kg MS/ha,M2,Oct,12279.212080181558,10232.612953488757,14726.046103848861
Secano,Biomasa aérea,kg MS/ha,M2,Nov,13333.685546441504,11219.586921115608,15805.456899904262
Secano,Biomasa aérea,kg MS/ha,M3,Sep,6245.826943950791,5138.74431518159,7458.727539091117
Secano,Biomasa aérea,kg MS/ha,M3,Oct,12772.757331403656,10681.675367003414,15215.10890094427
Secano,Biomasa aérea,kg MS/ha,M3,Nov,13588.586034998305,11478.208605496693,16090.194876808328
Secano,Biomasa aérea,kg MS/ha,M4,Sep,5750.604518628043,4795.5342113597435,6998.716566224447
Secano,Biomasa aérea,kg MS/ha,M4,Oct,11828.690855410481,9979.931526907818,14072.019227912695
Secano,Biomasa aérea,kg MS/ha,M4,Nov,12282.092086642759,10248.75594725403,14774.175797565893
Secano,Biomasa aérea,kg MS/ha,M5,Sep,4257.784608322092,3510.8549499725273,5594.43787316948
Secano,Biomasa aérea,kg MS/ha,M5,Oct,10228.171987869999,8553.197233337447,12425.2305180389
Secano,Biomasa aérea,kg MS/ha,M5,Nov,11543.785483469102,9741.917472453266,13956.308944163353
Secano,Concentración de N,% N,M0,Sep,1.1384486927798743,1.0215659341972456,1.276492768074784
Secano,Concentración de N,% N,M0,Oct,1.0619557474322843,0.9639869072885943,1.1795118612485385
Secano,Concentración de N,% N,M0,Nov,0.9189176610287813,0.8174398638093178,1.0565646888146407
Secano,Concentración de N,% N,M1,Sep,2.1965630452841167,1.9684225475559207,2.4764548921724154
Secano,Concentración de N,% N,M1,Oct,1.4982073367215412,1.3388606168317276,1.6548522025376362
Secano,Concentración de N,% N,M1,Nov,1.1579398007600923,1.0430115963357562,1.2701396436769874
Secano,Concentración de N,% N,M2,Sep,2.0552402515147614,1.8616131130311657,2.256625093931015
Secano,Concentración de N,% N,M2,Oct,1.5472470546891397,1.3926811580364988,1.709732241731123
Secano,Concentración de N,% N,M2,Nov,1.182573643589345,1.0856020976563436,1.2863945329336601
Secano,Concentración de N,% N,M3,Sep,2.0814954324345925,1.9054309018363298,2.275109354902876
Secano,Concentración de N,% N,M3,Oct,1.5610253612323493,1.408072338724188,1.7094503428937333
Secano,Concentración de N,% N,M3,Nov,1.1367721851791823,1.034511347795926,1.2386143456373255
Secano,Concentración de N,% N,M4,Sep,2.091310498551956,1.8906004190975472,2.3232099105756148
Secano,Concentración de N,% N,M4,Oct,1.6556269229954106,1.5127722024827075,1.8174031409061941
Secano,Concentración de N,% N,M4,Nov,1.25706728752861,1.131874870847633,1.4063278237152779
Secano,Concentración de N,% N,M5,Sep,1.9615720681627584,1.7766240889029825,2.1584969704328927
Secano,Concentración de N,% N,M5,Oct,1.6703244243260909,1.5146906725078848,1.860419615217108
Secano,Concentración de N,% N,M5,Nov,1.1963460475749,1.083989167505087,1.3226082672090544
Riego,Biomasa aérea,kg MS/ha,M0,Sep,4851.386068246784,4205.862389927637,5654.578161731301
Riego,Biomasa aérea,kg MS/ha,M0,Oct,6069.9718778229,5300.415933977574,7121.887303342388
Riego,Biomasa aérea,kg MS/ha,M0,Nov,11662.70071696979,9544.35623978012,13886.961604908256
Riego,Biomasa aérea,kg MS/ha,M1,Sep,7121.690580821292,6304.434711297646,8200.540509209433
Riego,Biomasa aérea,kg MS/ha,M1,Oct,12336.294890399802,10829.039503949665,14236.622253053954
Riego,Biomasa aérea,kg MS/ha,M1,Nov,13750.249324475171,12148.884315761426,15910.615349586527
Riego,Biomasa aérea,kg MS/ha,M2,Sep,7551.341408988947,6508.57260109704,8712.359125016921
Riego,Biomasa aérea,kg MS/ha,M2,Oct,11764.080804059677,10521.90032655356,13196.082591163939
Riego,Biomasa aérea,kg MS/ha,M2,Nov,13259.975015145084,11885.691999526682,14859.397515371944
Riego,Biomasa aérea,kg MS/ha,M3,Sep,6482.866570712666,5669.470005286423,7306.265414272647
Riego,Biomasa aérea,kg MS/ha,M3,Oct,11437.396171066797,10099.625026972433,12929.525395980601
Riego,Biomasa aérea,kg MS/ha,M3,Nov,12983.89219132539,11618.834175458824,14474.525942027234
Riego,Biomasa aérea,kg MS/ha,M4,Sep,6678.754541664445,5960.517874968785,7459.529484130789
Riego,Biomasa aérea,kg MS/ha,M4,Oct,11226.409101843772,9899.95352895951,12609.821743179651
Riego,Biomasa aérea,kg MS/ha,M4,Nov,13004.520569657063,11618.160048735539,14546.202692285311
Riego,Biomasa aérea,kg MS/ha,M5,Sep,6192.67661676508,5119.742709199046,7246.348019416446
Riego,Biomasa aérea,kg MS/ha,M5,Oct,10813.547900795831,9368.029380182634,12239.574465685817
Riego,Biomasa aérea,kg MS/ha,M5,Nov,12270.691569763323,10691.809732403693,13829.947060822278
Riego,Concentración de N,% N,M0,Sep,1.3306419744218991,1.1563747339315942,1.5178249627742428
