observation_id,w1000_g,panicle_density_m2,dirty_yield_kg_ha,clean_yield_kg_ha,clean_recovery,cleaning_loss_pct,estimated_seed_count,estimated_seeds_per_panicle,harvest_index_pct
harvest_20251112_secano_m0_r1,2.271,601.3157894736842,581.578947368421,453.9473684210526,0.7805429864253394,21.945701357466064,15191.545574636724,33.24189403640421,4.440668803336293
harvest_20251112_secano_m1_r1,2.5283333333333333,818.421052631579,1728.9473684210527,1414.4736842105262,0.8181126331811263,18.188736681887374,42518.12788398154,68.35711878453624,10.77992507199987
harvest_20251112_secano_m2_r1,2.4636666666666667,892.1052631578947,1467.1052631578948,1202.6315789473683,0.8197309417040359,18.02690582959641,37099.174671898254,54.71854671371424,9.216496924473127
harvest_20251112_secano_m3_r1,2.3883333333333336,667.1052631578947,1447.3684210526317,1227.6315789473683,0.8481818181818181,15.181818181818185,39064.898813677595,77.05108247273688,8.755893570377488
harvest_20251112_secano_m4_r1,2.466666666666667,722.3684210526316,1507.8947368421052,1256.578947368421,0.8333333333333334,16.666666666666664,38716.21621621621,70.52134101314428,13.822550296714432
harvest_20251112_secano_m5_r1,2.4356666666666666,513.1578947368421,1115.7894736842104,943.421052631579,0.8455188679245284,15.448113207547165,29437.525660325715,75.48083502647619,9.40781911794807
harvest_20251112_secano_m3_r2,2.2616666666666667,805.2631578947369,1575.0,1281.578947368421,0.8137009189640769,18.629908103592307,43065.58585114223,70.36860433193175,10.192719844618578
harvest_20251112_secano_m2_r2,2.5943333333333336,710.5263157894736,1640.7894736842104,1396.0526315789473,0.85084202085004,14.915797914995998,40896.82641654889,75.73486373434979,9.05388984462467
harvest_20251112_secano_m4_r2,2.6489999999999996,771.0526315789474,1913.157894736842,1644.7368421052631,0.859697386519945,14.030261348005501,47187.61796904493,80.52494533966711,12.898725399550917
harvest_20251112_secano_m0_r2,2.533666666666667,569.7368421052631,751.3157894736842,634.2105263157895,0.8441330998248687,15.586690017513128,19023.812656229442,43.934902208382084,11.33530878133672
harvest_20251112_secano_m1_r2,2.5196666666666667,911.8421052631579,1706.578947368421,1451.3157894736842,0.8504240555127217,14.957594448727829,43775.63169731446,63.16829970752447,8.53532836638613
harvest_20251112_secano_m5_r2,2.450333333333333,698.6842105263158,1548.6842105263158,1284.2105263157894,0.8292268479184366,17.077315208156342,39831.31546728337,75.01189353537357,12.089052718674365
harvest_20251112_secano_m3_r3,2.396,739.4736842105264,1593.421052631579,1369.7368421052631,0.8596201486374897,14.03798513625103,43447.41235392321,77.30856290733668,9.8217924912821
harvest_20251112_secano_m4_r3,2.3346666666666667,638.1578947368421,1575.0,1359.2105263157894,0.8629908103592314,13.700918964076859,44246.14505996573,91.22916507209429,9.246330110991764
harvest_20251112_secano_m0_r3,2.3680000000000003,660.5263157894736,727.6315789473684,615.7894736842105,0.8462929475587704,15.370705244122963,19763.51351351351,39.36954883170022,5.923810681086336
harvest_20251112_secano_m1_r3,2.380333333333333,984.2105263157895,1753.9473684210527,1436.842105263158,0.8192048012003,18.079519879969997,45875.92774121272,61.331454199482245,9.548392512381431
harvest_20251112_secano_m5_r3,2.545,852.6315789473684,1560.5263157894738,1357.8947368421052,0.8701517706576729,12.98482293423271,40550.09823182711,62.57731208615295,12.970559845559846
harvest_20251112_secano_m2_r3,2.2696666666666667,864.4736842105264,1682.8947368421052,1436.842105263158,0.8537920250195465,14.620797498045345,48112.791893082685,73.23103788901474,13.073335184990086
harvest_20251112_secano_m1_r4,1.9913333333333336,789.4736842105264,1451.3157894736842,1193.421052631579,0.8223028105167725,17.769718948322755,45547.37194509541,75.91228657515902,8.970055640058469
harvest_20251112_secano_m0_r4,2.4516666666666667,706.578947368421,1315.7894736842104,1106.578947368421,0.841,15.900000000000002,34303.1951053705,63.87932049417225,8.939599769547536
harvest_20251112_secano_m5_r4,2.586333333333333,655.2631578947369,1753.9473684210527,1509.2105263157894,0.8604651162790697,13.953488372093027,44348.49851785024,89.05320987520129,11.14527137326845
harvest_20251112_secano_m4_r4,2.3643333333333336,877.6315789473684,1923.6842105263158,1622.3684210526314,0.8433652530779754,15.663474692202461,52150.007049203436,78.18591761499765,13.20252871790918
harvest_20251112_secano_m3_r4,2.337666666666667,744.7368421052631,1798.6842105263158,1494.7368421052631,0.8310168251645941,16.89831748354059,48595.46556395265,85.85771301051706,10.146027776537311
harvest_20251112_secano_m2_r4,2.6143333333333336,932.8947368421052,1698.6842105263158,1432.8947368421052,0.8435321456235477,15.646785437645228,41654.978962131834,58.75173337395181,9.226499115476118
harvest_20251112_riego_m0_r1,2.316666666666667,594.7368421052631,690.7894736842105,485.5263157894737,0.7028571428571428,29.714285714285715,15928.057553956833,35.23906538486025,4.035265376110792
harvest_20251112_riego_m1_r1,2.3586666666666667,751.3157894736842,1506.578947368421,1150.0,0.7633187772925765,23.66812227074235,37054.83323911815,64.89462914031199,7.904923845012842
harvest_20251112_riego_m2_r1,2.2186666666666666,763.1578947368421,2005.2631578947369,1693.421052631579,0.8444881889763779,15.55118110236221,58007.81249999999,100.01346982758619,13.880201031039022
harvest_20251112_riego_m3_r1,2.193333333333333,842.1052631578947,1832.8947368421052,1431.578947368421,0.7810480976310121,21.895190236898788,49604.86322188451,77.50759878419454,12.358299825075537
harvest_20251112_riego_m4_r1,2.2346666666666666,640.7894736842105,1484.2105263157894,1235.5263157894738,0.8324468085106383,16.755319148936167,42019.689737470166,86.28273046708453,8.977433085139337
harvest_20251112_riego_m5_r1,2.569666666666666,485.5263157894737,1418.421052631579,1177.6315789473683,0.8302411873840445,16.97588126159555,34829.42015825659,94.3886725156005,11.725710093281624
harvest_20251112_riego_m3_r2,2.699333333333333,619.7368421052631,1248.6842105263158,1022.3684210526316,0.8187565858798735,18.124341412012647,28784.88515682885,61.11440585313981,8.425686959161986
harvest_20251112_riego_m2_r2,2.3033333333333337,852.6315789473684,1578.9473684210527,1317.1052631578948,0.8341666666666666,16.58333333333334,43458.7554269175,67.0659805970949,9.475720949957593
harvest_20251112_riego_m4_r2,2.6743333333333337,550.0,1675.0,1443.421052631579,0.8617439120188531,13.825608798114686,41019.56873987286,98.13293956907383,10.567789915804484
harvest_20251112_riego_m0_r2,2.2016666666666667,507.89473684210526,818.421052631579,639.4736842105264,0.7813504823151125,21.86495176848875,22074.186222558666,57.187010939271154,4.2753313381787095
harvest_20251112_riego_m1_r2,2.15,780.2631578947369,1531.578947368421,1219.7368421052631,0.7963917525773195,20.360824742268047,43116.27906976744,72.70873367583043,10.245584561992972
harvest_20251112_riego_m5_r2,2.1653333333333333,603.9473684210526,1430.2631578947369,1128.9473684210527,0.7893284268629255,21.06715731370745,39624.3842364532,86.32763450207669,10.390226889616555
harvest_20251112_riego_m3_r3,2.1123333333333334,900.0,1623.6842105263158,1315.7894736842104,0.8103727714748784,18.962722852512158,47341.01309768029,69.21200745274896,8.824879099156341
harvest_20251112_riego_m4_r3,2.0456666666666665,582.8947368421052,1413.157894736842,1060.5263157894738,0.7504655493482308,24.953445065176915,39400.35848134268,88.93986113169905,9.137161720960606
harvest_20251112_riego_m0_r3,2.4166666666666665,510.5263157894737,810.5263157894736,665.7894736842105,0.8214285714285714,17.85714285714286,20937.93103448276,53.963739779594746,5.824125230202578
