observation_id,dry_matter_pct_from_weights,dry_matter_abs_difference_pp,dry_matter_relative_difference,dry_matter_issue,biomass_reported_kg_ha,biomass_recorded_dm_kg_ha,biomass_ratio_dm_kg_ha,biomass_recalculation_difference_kg_ha,tiller_density_m2
dm_20250612_riego_general_r1,83.95638629283489,45.656386292834895,1.1920727491601801,true,4347.0,4347.049999999999,9529.04984423676,0.049999999999272404,2324.5614035087724
dm_20250612_riego_general_r2,79.85401459854015,45.85401459854015,1.3486474881923574,true,2810.0,2810.3684210526317,6600.564733000385,0.3684210526316747,2324.5614035087724
dm_20250612_riego_general_r3,81.02981029810297,42.729810298102976,1.115660843292506,true,4712.0,4711.907894736842,9968.799030095563,-0.09210526315837342,2438.5964912280706
dm_20250612_riego_general_r4,80.60344827586206,46.203448275862065,1.3431234963913392,true,3254.0,3253.5157894736835,7623.389292196006,-0.484210526316474,2403.508771929825
dm_20250612_riego_general_r5,,,,false,,,,,2043.8596491228075
dm_20250612_secano_general_r1,83.67647058823529,48.97647058823529,1.411425665367011,true,3696.0,3695.5500000000006,8911.544117647056,-0.44999999999936335,2210.5263157894738
dm_20250612_secano_general_r2,80.29891304347827,46.99891304347827,1.4113787700744227,true,5012.0,5011.649999999999,12084.986413043478,-0.3500000000012733,2631.5789473684213
dm_20250612_secano_general_r3,82.05882352941177,50.95882352941177,1.6385473803669377,true,3642.0,3641.9736842105262,9609.520123839011,-0.026315789473756013,2675.4385964912285
dm_20250612_secano_general_r4,82.79266572637518,46.99266572637518,1.3126442940328262,true,2682.0,2682.173684210526,6202.913666394477,0.1736842105260621,2307.0175438596493
dm_20250612_secano_general_r5,,,,false,,,,,2807.0175438596493
dm_20250916_secano_m0_r1,29.53020134228188,0.030201342281880983,0.0010237743146400333,false,5214.0,5209.078947368421,5214.411868597668,-4.921052631579187,
dm_20250916_secano_m1_r1,17.46031746031746,0.03968253968254132,0.002267573696145218,false,7444.0,7460.526315789473,7443.60902255639,16.5263157894733,
dm_20250916_secano_m2_r1,18.96813353566009,0.031866464339909584,0.0016771823336794518,false,8481.0,8495.0,8480.752336075393,14.0,
