sample_id,estimated_n_pct,estimated_adf_pct,estimated_ndf_pct,n_accumulated_kg_ha,critical_n_pct,nni,calculation_status
1,,,,45.91536558187471,2.999304454453884,0.35216634813213976,from_measured_quality
2,,,,32.63715000886035,3.4486983956840946,0.33678341213607665,from_measured_quality
3,,,,56.61552264112207,2.9229107006536177,0.4110689671796758,from_measured_quality
4,,,,36.347676012371046,3.2905433894272127,0.33946224406198716,from_measured_quality
5,,,,50.37500313235368,3.159126447458695,0.4314357352033806,from_measured_quality
6,,,,55.666991472591405,2.865746016753671,0.38756896279412,from_measured_quality
7,,,,49.309345168363514,3.174040442705129,0.42655676841449347,from_measured_quality
8,,,,36.58649934580469,3.5005350448140136,0.389697530888049,from_measured_quality
9,,,,54.83138953618536,2.8297398367442748,0.3716308137206503,from_measured_quality
10,,,,179.07846607138444,2.525010571633855,0.9527386868093128,from_measured_quality
11,,,,152.22468565203877,2.421799455129587,0.7411393043687369,from_measured_quality
12,,,,69.70627519320595,3.14074994365511,0.5896426659475383,from_measured_quality
13,,,,146.2785534279553,2.552083258072171,0.7960737836284237,from_measured_quality
14,,,,67.08808745741176,3.231027727405842,0.6027198572420078,from_measured_quality
15,,,,146.08561529999832,2.5593853996976694,0.7998654254172408,from_measured_quality
16,,,,207.7479357309126,2.1962055640032063,0.821699360053842,from_measured_quality
17,,,,98.34193423274318,2.7199980560553283,0.6127991308346953,from_measured_quality
18,,,,37.91587321998764,3.1838637319089504,0.33015695336397316,from_measured_quality
19,,,,239.17659050049323,2.3261604178489734,1.0689295534039671,from_measured_quality
20,,,,86.2997668689503,3.0072966469502647,0.665664397339255,from_measured_quality
21,,,,146.6854705012956,2.6577059563411214,0.8701326341377011,from_measured_quality
22,,,,129.51297995874083,2.8604600996078493,0.898174466163284,from_measured_quality
23,,,,54.252630524700336,2.98293123071653,0.41130010568827097,from_measured_quality
24,,,,187.35631964612068,2.3872066303002173,0.8847198174438071,from_measured_quality
25,,,,73.42962801001387,3.0392356626495487,0.5792509592118317,from_measured_quality
26,,,,344.0179203199091,2.004782821210789,1.1209733306384366,from_measured_quality
27,2.8688484862162937,40.77623836505554,69.57708690222144,201.8808679750406,2.5708528604174288,1.1159131393270323,from_dbca_estimate
28,,,,57.5831599824799,2.9060424864727357,0.4129840613365918,from_measured_quality
29,,,,61.18087312730494,3.2622526821365323,0.5609984962777325,from_measured_quality
30,,,,116.20275670180713,2.8559353892459924,0.8031614729998079,from_measured_quality
31,,,,155.38470112295838,2.5607641779966985,0.8517551341579283,from_measured_quality
32,,,,174.1958975643713,2.53596224501563,0.9353248459865249,from_measured_quality
33,,,,54.49768028299646,2.8358453663886127,0.3710646305473825,from_measured_quality
34,,,,207.88921960797094,2.444813648017998,1.0327027772463697,from_measured_quality
35,,,,156.94437804771223,2.475921911224378,0.8008623937453607,from_measured_quality
36,,,,121.91339962271593,2.679800349512378,0.7360210902386516,from_measured_quality
37,,,,118.87817774238094,2.6130422554912873,0.6802357333916786,from_measured_quality
38,,,,87.4373318199174,2.9977605597023484,0.6699023947892655,from_measured_quality
39,,,,85.39309604132605,2.8178601929606883,0.5736179157259669,from_measured_quality
40,,,,204.43864743146597,2.474821815243611,1.0422334208328108,from_measured_quality
41,,,,122.29308225073139,2.696238437760069,0.7479703846858707,from_measured_quality
42,,,,63.761282958439885,2.9379565368162837,0.46803096223794916,from_measured_quality
43,,,,145.30965229924607,2.4836795099428337,0.7464378443362771,from_measured_quality
44,,,,82.76201889897519,2.8252392137505646,0.5590421631897046,from_measured_quality
