Fecha,Muestra,Condición,Tratamiento,Repetición,%MS,KgMS/ha,REG. DE LAB.,% N,% FDA ,% FDN ,KgN/ha,INN,Origen del dato
2025-06-12,1,Riego,General,R1,38.3,4347,261317,1.056254096661484,27.55402873636556,56.12625115996776,45.9153655818747,0.3521663481321398,Medido
2025-06-12,2,Riego,General,R2,34,2810,261318,1.161464413126703,25.02829752367079,46.26741010588113,32.63715000886035,0.33678341213607665,Medido
2025-06-12,3,Riego,General,R3,38.3,4712,261319,1.201517882876105,25.27295884923526,46.67870950833421,56.61552264112207,0.4110689671796758,Medido
2025-06-12,4,Riego,General,R4,34.4,3254,261320,1.117015243158299,26.08022760378733,47.1703333682776,36.347676012371046,0.33946224406198716,Medido
2025-06-12,5,Secano,General,R1,34.7,3696,261321,1.362960041459786,23.93099235251275,44.69204738442185,50.37500313235369,0.4314357352033806,Medido
2025-06-12,6,Secano,General,R2,33.3,5012,261322,1.110674211344601,26.94586576879683,54.00853735397182,55.666991472591405,0.38756896279412,Medido
2025-06-12,7,Secano,General,R3,31.1,3642,261323,1.353908434057208,26.35502731245447,47.92727120243212,49.30934516836352,0.42655676841449347,Medido
2025-06-12,8,Secano,General,R4,35.8,2682,261324,1.364149863751107,26.58994391063623,54.31064886975585,36.58649934580468,0.389697530888049,Medido
2025-09-16,9,Secano,M0,R1,29.5,5214,261325,1.051618518147015,28.23544352578158,56.03301225553062,54.83138953618536,0.37163081372065027,Medido
2025-09-16,10,Secano,M1,R1,17.5,7444,261326,2.405675256198071,29.97526584122359,51.11100115316071,179.0784660713844,0.9527386868093128,Medido
2025-09-16,11,Secano,M2,R1,19,8481,261327,1.794890763495328,31.91856518572469,54.49011950938254,152.22468565203877,0.7411393043687369,Medido
2025-09-16,12,Secano,M3,R1,10.8,3764,261328,1.85192016985138,32.13048798252003,53.61935213334731,69.70627519320595,0.5896426659475383,Medido
2025-09-16,13,Secano,M4,R1,34.1,7200,261329,2.031646575388268,28.43270939548434,49.09964252018032,146.2785534279553,0.7960737836284237,Medido
2025-09-16,14,Secano,M5,R1,24.2,3445,261330,1.947404570607018,32.56981245447924,54.11714959639374,67.08808745741177,0.6027198572420078,Medido
2025-09-16,15,Secano,M3,R2,19.7,7136,261331,2.047163891535851,30.84303495561869,61.21009225202022,146.08561529999835,0.7998654254172408,Medido
2025-09-16,16,Secano,M2,R2,22.1,11512,261332,1.804620706488122,29.67630917698471,51.0004444910368,207.74793573091262,0.821699360053842,Medido
2025-09-16,17,Secano,M4,R2,23.4,5900,261333,1.666812444622766,30.73995630007283,52.20555194464828,98.34193423274318,0.6127991308346953,Medido
2025-09-16,18,Secano,M0,R2,29.4,3607,261334,1.051174749653109,27.58569009468318,48.28363140790439,37.91587321998764,0.33015695336397316,Medido
2025-09-16,19,Secano,M1,R2,21.1,9619,261335,2.486501616597289,32.80936088856519,55.32531292588322,239.1765905004932,1.068929553403967,Medido
2025-09-16,20,Secano,M5,R2,22.9,4311,261336,2.00185031011251,30.31055353241078,52.5333106195618,86.29976686895031,0.665664397339255,Medido
2025-09-16,21,Secano,M3,R3,19.8,6343,261337,2.312556684554558,31.9890750182083,53.93146975573959,146.6854705012956,0.8701326341377011,Medido
2025-09-16,22,Secano,M4,R3,18.5,5041,261338,2.569192222946654,31.26679533867443,53.38913932278017,129.51297995874083,0.898174466163284,Medido
2025-09-16,23,Secano,M0,R3,28.9,4422,261339,1.226879930454553,26.34516387472688,46.86250235873781,54.25263052470033,0.41130010568827097,Medido
2025-09-16,24,Secano,M1,R3,18.2,8871,261340,2.112009014159854,32.3198543335761,55.18341125904183,187.35631964612068,0.8847198174438071,Medido
2025-09-16,25,Secano,M5,R3,24.8,4171,261341,1.760480172860558,29.00568491771242,58.1857270744406,73.42962801001387,0.5792509592118317,Medido
2025-09-16,26,Secano,M2,R3,38.9,15308,261342,2.24730807629938,29.46752367079388,50.39613062165846,344.0179203199091,1.120973330638437,Medido
2025-09-16,27,Secano,M1,R4,19,7037,,,,,,,Estimado por modelo
2025-09-16,28,Secano,M0,R4,28.1,4798,261343,1.200149228480198,29.01329686457403,57.36571241985477,57.5831599824799,0.4129840613365919,Medido
2025-09-16,29,Secano,M5,R4,23.1,3343,261344,1.830118849156594,31.6028932993445,53.50414089527204,61.180873127304935,0.5609984962777324,Medido
2025-09-16,30,Secano,M4,R4,19.8,5066,261345,2.293777274019091,31.87163146394756,53.25141419436,116.20275670180715,0.8031614729998079,Medido
